GroupId,Value,Year
142,0,2022
142,0,2023
142,0,2024
142,0,2025
142,0,2026
142,0,2027
142,0,2028
142,0,2029
142,0,2030
142,0,2031
142,0,2032
142,0,2033
142,0,2034
142,0,2035
142,0,2036
142,0,2037
142,0,2038
142,0,2039
142,0,2040
142,0,2041
142,0,2042
142,0,2043
142,0,2044
142,0,2045
148,0.025,2018
148,0,2019
148,0,2020
148,0,2021
148,0,2022
148,0,2023
148,0,2024
148,0,2025
148,0,2026
148,0,2027
148,0,2028
148,0,2029
148,0,2030
148,0,2031
148,0,2032
148,0,2033
148,0,2034
148,0,2035
148,0,2036
148,0,2037
148,0,2038
148,0,2039
148,0,2040
148,0,2041
148,0,2042
148,0,2043
148,0,2044
148,0,2045
139,0.75,2018
139,0.710994,2019
139,0.69139,2020
139,0.662419,2021
139,0.646593,2022
139,0.61342,2023
139,0.570259,2024
139,0.521316,2025
139,0.462659,2026
139,0.390331,2027
139,0.296129,2028
139,0.083392,2029
139,0,2030
139,0,2031
139,0,2032
139,0,2033
139,0,2034
139,0,2035
139,0,2036
139,0,2037
139,0,2038
139,0,2039
139,0,2040
139,0,2041
139,0,2042
139,0,2043
139,0,2044
139,0,2045
138,0.75,2018
138,0.691391,2019
138,0.661933,2020
138,0.618401,2021
138,0.594621,2022
138,0.544776,2023
138,0.479922,2024
138,0.406382,2025
138,0.318244,2026
138,0.209565,2027
138,0.068017,2028
138,0,2029
138,0,2030
138,0,2031
138,0,2032
138,0,2033
138,0,2034
138,0,2035
138,0,2036
138,0,2037
138,0,2038
138,0,2039
138,0,2040
138,0,2041
138,0,2042
138,0,2043
138,0,2044
138,0,2045
137,0.4,2018
137,0.348322,2019
137,0.322348,2020
137,0.283965,2021
137,0.262997,2022
137,0.219048,2023
137,0.161864,2024
137,0.097021,2025
137,0.019307,2026
137,0,2027
137,0,2028
137,0,2029
137,0,2030
137,0,2031
137,0,2032
137,0,2033
137,0,2034
137,0,2035
137,0,2036
137,0,2037
137,0,2038
137,0,2039
137,0,2040
137,0,2041
137,0,2042
137,0,2043
137,0,2044
137,0,2045
132,0.75,2018
132,0.109991,2019
132,0,2020
132,0,2021
132,0,2022
132,0,2023
132,0,2024
132,0,2025
132,0,2026
132,0,2027
132,0,2028
132,0,2029
132,0,2030
132,0,2031
132,0,2032
132,0,2033
132,0,2034
132,0,2035
132,0,2036
132,0,2037
132,0,2038
132,0,2039
132,0,2040
132,0,2041
132,0,2042
132,0,2043
132,0,2044
132,0,2045
136,0.75,2018
136,0.50073,2019
136,0.375444,2020
136,0.190302,2021
136,0.089162,2022
136,0,2023
136,0,2024
136,0,2025
136,0,2026
136,0,2027
136,0,2028
136,0,2029
136,0,2030
136,0,2031
136,0,2032
136,0,2033
136,0,2034
136,0,2035
136,0,2036
136,0,2037
136,0,2038
136,0,2039
136,0,2040
136,0,2041
136,0,2042
136,0,2043
136,0,2044
136,0,2045
14,0.75,2018
14,0.657478,2019
14,0.610976,2020
14,0.542256,2021
14,0.504716,2022
14,0.426031,2023
14,0.323652,2024
14,0.20756,2025
14,0.068424,2026
14,0,2027
14,0,2028
14,0,2029
14,0,2030
14,0,2031
14,0,2032
14,0,2033
14,0,2034
14,0,2035
14,0,2036
14,0,2037
14,0,2038
14,0,2039
14,0,2040
14,0,2041
14,0,2042
14,0,2043
14,0,2044
14,0,2045
127,0.225,2018
127,0.166249,2019
127,0.13672,2020
127,0.093084,2021
127,0.069246,2022
127,0.019281,2023
127,0,2024
127,0,2025
127,0,2026
127,0,2027
127,0,2028
127,0,2029
127,0,2030
127,0,2031
127,0,2032
127,0,2033
127,0,2034
127,0,2035
127,0,2036
127,0,2037
127,0,2038
127,0,2039
127,0,2040
127,0,2041
127,0,2042
127,0,2043
127,0,2044
127,0,2045
13,0.225,2018
13,0.170036,2019
13,0.14241,2020
13,0.101586,2021
13,0.079285,2022
13,0.03254,2023
13,0,2024
13,0,2025
13,0,2026
13,0,2027
13,0,2028
13,0,2029
13,0,2030
13,0,2031
13,0,2032
13,0,2033
13,0,2034
13,0,2035
13,0,2036
13,0,2037
13,0,2038
13,0,2039
13,0,2040
13,0,2041
