year,technology,value,scenario
2021,Fossil,5303404.43,e3genmod
2022,Fossil,5109452.29,e3genmod
2023,Fossil,4981505.71,e3genmod
2024,Fossil,4875130.92,e3genmod
2025,Fossil,3356831.4,e3genmod
2026,Fossil,3236575.62,e3genmod
2027,Fossil,3124632.23,e3genmod
2028,Fossil,3016447.57,e3genmod
2029,Fossil,2867906.33,e3genmod
2030,Fossil,2757078.44,e3genmod
2031,Fossil,2684576.78,e3genmod
2032,Fossil,2680982.41,e3genmod
2033,Fossil,2649847.96,e3genmod
2034,Fossil,2637137.49,e3genmod
2035,Fossil,2626890.61,e3genmod
2036,Fossil,2631570.98,e3genmod
2037,Fossil,2612356.91,e3genmod
2038,Fossil,2613363.74,e3genmod
2039,Fossil,2607239.47,e3genmod
2040,Fossil,2099957.03,e3genmod
2041,Fossil,2101400.04,e3genmod
2042,Fossil,2096239.04,e3genmod
2043,Fossil,2087870.76,e3genmod
2044,Fossil,2094902.32,e3genmod
2045,Fossil,0,e3genmod
2016,PV,22183.4,e3genmod
2017,PV,114350.53,e3genmod
2018,PV,414146.02,e3genmod
2019,PV,460662.22,e3genmod
2020,PV,837254.88,e3genmod
2021,PV,825702.46,e3genmod
2022,PV,933714.46,e3genmod
2023,PV,933243.46,e3genmod
2024,PV,933034.03,e3genmod
2025,PV,1362358.99,e3genmod
2026,PV,1362231.51,e3genmod
2027,PV,1361525.29,e3genmod
2028,PV,1360734.56,e3genmod
2029,PV,1360275.91,e3genmod
2030,PV,1360460.85,e3genmod
2031,PV,1360419.61,e3genmod
2032,PV,1359428.85,e3genmod
2033,PV,1359072.32,e3genmod
2034,PV,1357867.45,e3genmod
2035,PV,1359017.64,e3genmod
2036,PV,1358814.54,e3genmod
2037,PV,1357889.11,e3genmod
2038,PV,1356849.01,e3genmod
2039,PV,1355202.07,e3genmod
2040,PV,1935206.32,e3genmod
2041,PV,1923611.17,e3genmod
2042,PV,1918853.38,e3genmod
2043,PV,1917865.69,e3genmod
2044,PV,1914276.96,e3genmod
2045,PV,3969244.62,e3genmod
2016,Offshore,0,e3genmod
2017,Offshore,0,e3genmod
2018,Offshore,0,e3genmod
2019,Offshore,0,e3genmod
2020,Offshore,0,e3genmod
2021,Offshore,0,e3genmod
2022,Offshore,0,e3genmod
2023,Offshore,0,e3genmod
2024,Offshore,0,e3genmod
2025,Offshore,1000863.03,e3genmod
2026,Offshore,1000850.06,e3genmod
2027,Offshore,1000603.31,e3genmod
2028,Offshore,999923.15,e3genmod
2029,Offshore,998286.38,e3genmod
2030,Offshore,1000510.46,e3genmod
2031,Offshore,999958.57,e3genmod
2032,Offshore,999846.18,e3genmod
2033,Offshore,998935.37,e3genmod
2034,Offshore,998119.6,e3genmod
2035,Offshore,1000024.88,e3genmod
2036,Offshore,1000140.12,e3genmod
2037,Offshore,999086.84,e3genmod
2038,Offshore,998268.13,e3genmod
2039,Offshore,997140.47,e3genmod
2040,Offshore,978318.88,e3genmod
2041,Offshore,973395.07,e3genmod
2042,Offshore,970644.43,e3genmod
2043,Offshore,971842.56,e3genmod
2044,Offshore,969934.17,e3genmod
2045,Offshore,822442.54,e3genmod
2016,Wind,190677.36,e3genmod
2017,Wind,190721.76,e3genmod
2018,Wind,300048.87,e3genmod
2019,Wind,300154.16,e3genmod
2020,Wind,300240.85,e3genmod
2021,Wind,300147.97,e3genmod
2022,Wind,300242.85,e3genmod
2023,Wind,300150.6,e3genmod
2024,Wind,300263.25,e3genmod
2025,Wind,300160.28,e3genmod
2026,Wind,300152.39,e3genmod
2027,Wind,300156.97,e3genmod
2028,Wind,300228.18,e3genmod
2029,Wind,300048.87,e3genmod
2030,Wind,300156.16,e3genmod
2031,Wind,300160.28,e3genmod
2032,Wind,300256.9,e3genmod
2033,Wind,300242.85,e3genmod
2034,Wind,300150.6,e3genmod
2035,Wind,300048.87,e3genmod
2036,Wind,300218.26,e3genmod
2037,Wind,300152.39,e3genmod
2038,Wind,300156.97,e3genmod
2039,Wind,300239.85,e3genmod
2040,Wind,300079.37,e3genmod
2041,Wind,300149.16,e3genmod
2042,Wind,300155.28,e3genmod
2043,Wind,300135.39,e3genmod
2044,Wind,300182.73,e3genmod
2045,Wind,348039.7,e3genmod
2016,Bio,413843.96,postapril
2017,Bio,426581.3,postapril
2018,Bio,436834.07,postapril
2019,Bio,455461.68,postapril
2020,Bio,450011.77,postapril
2021,Bio,455840.82,postapril
2022,Bio,435710.36,postapril
2023,Bio,436262.49,postapril
2024,Bio,432155.75,postapril
2025,Bio,439349.09,postapril
2026,Bio,431891.95,postapril
2027,Bio,422020.41,postapril
2028,Bio,417294.02,postapril
2029,Bio,415419.36,postapril
2030,Bio,429850.92,postapril
2031,Bio,423379.01,postapril
2032,Bio,420666.33,postapril
2033,Bio,415263.5,postapril
2034,Bio,410134.95,postapril
2035,Bio,405781.82,postapril
2036,Bio,403608.18,postapril
2037,Bio,398696.89,postapril
2038,Bio,396117.08,postapril
2039,Bio,393433.13,postapril
2040,Bio,375853.3,postapril
2041,Bio,375685.53,postapril
2042,Bio,375708.11,postapril
2043,Bio,375022.46,postapril
2044,Bio,375582.96,postapril
2045,Bio,1278227.23,postapril
2016,DER,688576.11,postapril
2017,DER,810304.55,postapril
2018,DER,876663.9,postapril
2019,DER,950109.15,postapril
2020,DER,1018121.75,postapril
2021,DER,1105014.34,postapril
2022,DER,1150154.56,postapril
2023,DER,1235791.53,postapril
2024,DER,1339005.41,postapril
2025,DER,1434900.73,postapril
2026,DER,1534460.73,postapril
2027,DER,1634010.16,postapril
2028,DER,1738341.13,postapril
2029,DER,1833085.05,postapril
2030,DER,1932686.1,postapril
2031,DER,2032236.2,postapril
2032,DER,2137687.08,postapril
2033,DER,2231334.66,postapril
2034,DER,2330895.78,postapril
2035,DER,2430445.43,postapril
2036,DER,2537025.97,postapril
2037,DER,2629575.04,postapril
2038,DER,2729123.82,postapril
2039,DER,2828679.48,postapril
2040,DER,2936351.06,postapril
2041,DER,3027760.17,postapril
2042,DER,3127339.96,postapril
2043,DER,3226897.35,postapril
2044,DER,3335407.44,postapril
2045,DER,3425015.88,postapril
2016,Fossil,6277693.11,postapril
2017,Fossil,6191545.25,postapril
2018,Fossil,5864517.32,postapril
2019,Fossil,5806098.72,postapril
2020,Fossil,5299064.03,postapril
2021,Fossil,5005770.82,postapril
2022,Fossil,4846639.16,postapril
2023,Fossil,4625236.6,postapril
2024,Fossil,4527847.7,postapril
2025,Fossil,4201445.32,postapril
2026,Fossil,4067466.56,postapril
2027,Fossil,3941010.62,postapril
2028,Fossil,3844871.68,postapril
2029,Fossil,3724469.65,postapril
2030,Fossil,3239210.02,postapril
2031,Fossil,3164796.67,postapril
2032,Fossil,3130858.05,postapril
2033,Fossil,3102734.88,postapril
2034,Fossil,3084993.91,postapril
2035,Fossil,3084126.35,postapril
2036,Fossil,3111252.43,postapril
2037,Fossil,3099549.44,postapril
2038,Fossil,3116672.72,postapril
2039,Fossil,3114539.88,postapril
2040,Fossil,1819942.27,postapril
2041,Fossil,1900812.19,postapril
2042,Fossil,1872937.69,postapril
2043,Fossil,1882843.95,postapril
2044,Fossil,1911302.02,postapril
2045,Fossil,0,postapril
2016,PV,22183.4,postapril
2017,PV,114350.53,postapril
2018,PV,414146.02,postapril
2019,PV,460698.25,postapril
2020,PV,843030.28,postapril
2021,PV,1023732.96,postapril
2022,PV,1111144.04,postapril
2023,PV,1213244.01,postapril
2024,PV,1209320.46,postapril
2025,PV,1392400.58,postapril
2026,PV,1420859.95,postapril
2027,PV,1443637.99,postapril
2028,PV,1445091.61,postapril
2029,PV,1417750.76,postapril
2030,PV,1813202.88,postapril
2031,PV,1820824.41,postapril
2032,PV,1854839.91,postapril
2033,PV,1854418.35,postapril
2034,PV,1863083.82,postapril
2035,PV,1855196.34,postapril
2036,PV,1833876.44,postapril
2037,PV,1826507.03,postapril
2038,PV,1807825.58,postapril
2039,PV,1803351.11,postapril
2040,PV,1604047.23,postapril
2041,PV,1502156.07,postapril
2042,PV,1513781.4,postapril
2043,PV,1516453.38,postapril
2044,PV,1497684.17,postapril
2045,PV,1044187.62,postapril
2016,Offshore,0,postapril
2017,Offshore,0,postapril
2018,Offshore,0,postapril
2019,Offshore,0,postapril
2020,Offshore,0,postapril
2021,Offshore,0,postapril
2022,Offshore,0,postapril
2023,Offshore,0,postapril
2024,Offshore,0,postapril
2025,Offshore,0,postapril
2026,Offshore,0,postapril
2027,Offshore,0,postapril
2028,Offshore,0,postapril
2029,Offshore,0,postapril
2030,Offshore,0,postapril
2031,Offshore,0,postapril
2032,Offshore,0,postapril
2033,Offshore,0,postapril
2034,Offshore,0,postapril
2035,Offshore,0,postapril
2036,Offshore,0,postapril
2037,Offshore,0,postapril
2038,Offshore,0,postapril
2039,Offshore,0,postapril
2040,Offshore,1523007.46,postapril
2041,Offshore,1514049.03,postapril
2042,Offshore,1523018.68,postapril
2043,Offshore,1498597.49,postapril
2044,Offshore,1487632.93,postapril
2045,Offshore,2933255.77,postapril
2016,Wind,190677.36,postapril
2017,Wind,190721.76,postapril
2018,Wind,300048.87,postapril
2019,Wind,300154.16,postapril
2020,Wind,359551.54,postapril
2021,Wind,355222.72,postapril
2022,Wind,350341.13,postapril
2023,Wind,349684.67,postapril
2024,Wind,347910.13,postapril
2025,Wind,348615.68,postapril
2026,Wind,346252.54,postapril
