technology,year,scenario,value
Fossil,2044,e3genmod,1226.72
Fossil,2045,e3genmod,0.00
PV,2016,e3genmod,11.0
PV,2017,e3genmod,58.6
PV,2018,e3genmod,183.2
PV,2019,e3genmod,203.2
PV,2020,e3genmod,383.2
PV,2021,e3genmod,383.2
PV,2022,e3genmod,423.2
PV,2023,e3genmod,423.2
PV,2024,e3genmod,423.2
PV,2025,e3genmod,623.2
PV,2026,e3genmod,623.2
PV,2027,e3genmod,623.2
PV,2028,e3genmod,623.2
PV,2029,e3genmod,623.2
PV,2030,e3genmod,623.2
PV,2031,e3genmod,623.2
PV,2032,e3genmod,623.2
PV,2033,e3genmod,623.2
PV,2034,e3genmod,623.2
PV,2035,e3genmod,623.2
PV,2036,e3genmod,623.2
PV,2037,e3genmod,623.2
PV,2038,e3genmod,623.2
PV,2039,e3genmod,623.2
PV,2040,e3genmod,903.2
PV,2041,e3genmod,903.2
PV,2042,e3genmod,903.2
PV,2043,e3genmod,903.2
PV,2044,e3genmod,903.2
PV,2045,e3genmod,2083.2
Wind,2016,e3genmod,99.00
Wind,2017,e3genmod,99.00
Wind,2018,e3genmod,133.00
Wind,2019,e3genmod,133.00
Wind,2020,e3genmod,133.00
Wind,2021,e3genmod,133.00
Wind,2022,e3genmod,133.00
Wind,2023,e3genmod,133.00
Wind,2024,e3genmod,133.00
Wind,2025,e3genmod,133.00
Wind,2026,e3genmod,133.00
Wind,2027,e3genmod,133.00
Wind,2028,e3genmod,133.00
Wind,2029,e3genmod,133.00
Wind,2030,e3genmod,133.00
Wind,2031,e3genmod,133.00
Wind,2032,e3genmod,133.00
Wind,2033,e3genmod,133.00
Wind,2034,e3genmod,133.00
Wind,2035,e3genmod,133.00
Wind,2036,e3genmod,133.00
Wind,2037,e3genmod,133.00
Wind,2038,e3genmod,133.00
Wind,2039,e3genmod,133.00
Wind,2040,e3genmod,133.00
Wind,2041,e3genmod,133.00
Wind,2042,e3genmod,133.00
Wind,2043,e3genmod,133.00
Wind,2044,e3genmod,133.00
Wind,2045,e3genmod,163.00
Offshore,2016,e3genmod,0.00
Offshore,2017,e3genmod,0.00
Offshore,2018,e3genmod,0.00
Offshore,2019,e3genmod,0.00
Offshore,2020,e3genmod,0.00
Offshore,2021,e3genmod,0.00
Offshore,2022,e3genmod,0.00
Offshore,2023,e3genmod,0.00
Offshore,2024,e3genmod,0.00
Offshore,2025,e3genmod,200.00
Offshore,2026,e3genmod,200.00
Offshore,2027,e3genmod,200.00
Offshore,2028,e3genmod,200.00
Offshore,2029,e3genmod,200.00
Offshore,2030,e3genmod,200.00
Offshore,2031,e3genmod,200.00
Offshore,2032,e3genmod,200.00
Offshore,2033,e3genmod,200.00
Offshore,2034,e3genmod,200.00
Offshore,2035,e3genmod,200.00
Offshore,2036,e3genmod,200.00
Offshore,2037,e3genmod,200.00
Offshore,2038,e3genmod,200.00
Offshore,2039,e3genmod,200.00
Offshore,2040,e3genmod,200.00
Offshore,2041,e3genmod,200.00
Offshore,2042,e3genmod,200.00
Offshore,2043,e3genmod,200.00
Offshore,2044,e3genmod,200.00
Offshore,2045,e3genmod,200.00
Bio,2016,e3,180.65
Bio,2017,e3,180.65
Bio,2018,e3,92.92
Bio,2019,e3,92.92
Bio,2020,e3,92.92
Bio,2021,e3,92.92
Bio,2022,e3,92.92
Bio,2023,e3,92.92
Bio,2024,e3,92.92
Bio,2025,e3,92.92
Bio,2026,e3,92.92
Bio,2027,e3,92.92
Bio,2028,e3,92.92
Bio,2029,e3,92.92
Bio,2030,e3,92.92
Bio,2031,e3,92.92
Bio,2032,e3,92.92
Bio,2033,e3,92.92
Bio,2034,e3,92.92
Bio,2035,e3,92.92
Bio,2036,e3,92.92
Bio,2037,e3,92.92
Bio,2038,e3,92.92
Bio,2039,e3,92.92
Bio,2040,e3,92.92
Bio,2041,e3,92.92
Bio,2042,e3,92.92
Bio,2043,e3,92.92
Bio,2044,e3,92.92
Bio,2045,e3,873.90
DER,2016,e3,425.36
DER,2017,e3,501.49
DER,2018,e3,542.65
DER,2019,e3,588.19
DER,2020,e3,628.67
DER,2021,e3,684.27
DER,2022,e3,712.27
DER,2023,e3,765.38
DER,2024,e3,827.13
DER,2025,e3,888.87
DER,2026,e3,950.62
DER,2027,e3,1012.37
DER,2028,e3,1074.11
DER,2029,e3,1135.86
DER,2030,e3,1197.61
DER,2031,e3,1259.35
DER,2032,e3,1321.10
DER,2033,e3,1382.84
