technology,year,scenario,value
Geo,2036,e3,0
Geo,2037,e3,0
Geo,2038,e3,0
Geo,2039,e3,0
Geo,2040,e3,40
Geo,2041,e3,40
Geo,2042,e3,40
Geo,2043,e3,40
Geo,2044,e3,40
Geo,2045,e3,40
Hydro,2016,e3,0.5
Hydro,2017,e3,0.5
Hydro,2018,e3,0.5
Hydro,2019,e3,0.5
Hydro,2020,e3,0.5
Hydro,2021,e3,0.5
Hydro,2022,e3,0.5
Hydro,2023,e3,0.5
Hydro,2024,e3,0.5
Hydro,2025,e3,0.5
Hydro,2026,e3,0.5
Hydro,2027,e3,0.5
Hydro,2028,e3,0.5
Hydro,2029,e3,0.5
Hydro,2030,e3,0.5
Hydro,2031,e3,0.5
Hydro,2032,e3,0.5
Hydro,2033,e3,0.5
Hydro,2034,e3,0.5
Hydro,2035,e3,0.5
Hydro,2036,e3,0.5
Hydro,2037,e3,0.5
Hydro,2038,e3,0.5
Hydro,2039,e3,0.5
Hydro,2040,e3,0.5
Hydro,2041,e3,0.5
Hydro,2042,e3,0.5
Hydro,2043,e3,0.5
Hydro,2044,e3,0.5
Hydro,2045,e3,0.5
