year,technology,value,scenario
2025,Fossil,297092.13,postapril
2026,Fossil,298830.74,postapril
2027,Fossil,293096.4,postapril
2028,Fossil,286771.62,postapril
2029,Fossil,274241.13,postapril
2030,Fossil,143186.44,postapril
2031,Fossil,135810.59,postapril
2032,Fossil,141331.85,postapril
2033,Fossil,141727.01,postapril
2034,Fossil,152978.56,postapril
2035,Fossil,159948.19,postapril
2036,Fossil,160862.4,postapril
2037,Fossil,152389.69,postapril
2038,Fossil,158129.24,postapril
2039,Fossil,165409.91,postapril
2040,Fossil,0,postapril
2041,Fossil,0,postapril
2042,Fossil,0,postapril
2043,Fossil,0,postapril
2044,Fossil,0,postapril
2045,Fossil,0,postapril
2016,Geo,0,postapril
2017,Geo,0,postapril
2018,Geo,0,postapril
2019,Geo,0,postapril
2020,Geo,0,postapril
2021,Geo,0,postapril
2022,Geo,0,postapril
2023,Geo,0,postapril
2024,Geo,0,postapril
2025,Geo,0,postapril
2026,Geo,0,postapril
2027,Geo,0,postapril
2028,Geo,0,postapril
2029,Geo,0,postapril
2030,Geo,192822.02,postapril
2031,Geo,193362.93,postapril
2032,Geo,190259.25,postapril
2033,Geo,194242.54,postapril
2034,Geo,191268.71,postapril
2035,Geo,191300.08,postapril
2036,Geo,198188.05,postapril
2037,Geo,199746.39,postapril
2038,Geo,200142.11,postapril
2039,Geo,197870.5,postapril
2040,Geo,192965.79,postapril
2041,Geo,192357.99,postapril
2042,Geo,196074.57,postapril
2043,Geo,195151.61,postapril
2044,Geo,193987.42,postapril
2045,Geo,195517.33,postapril
2016,Hydro,1018.29,postapril
2017,Hydro,1018.37,postapril
2018,Hydro,1018.38,postapril
2019,Hydro,1018.42,postapril
2020,Hydro,1018.38,postapril
2021,Hydro,1018.43,postapril
2022,Hydro,1018.35,postapril
2023,Hydro,1018.36,postapril
2024,Hydro,1018.25,postapril
2025,Hydro,1018.28,postapril
2026,Hydro,1018.37,postapril
2027,Hydro,1018.38,postapril
2028,Hydro,1018.32,postapril
2029,Hydro,1018.32,postapril
2030,Hydro,1018.36,postapril
2031,Hydro,1018.35,postapril
2032,Hydro,1018.32,postapril
2033,Hydro,1018.38,postapril
2034,Hydro,1018.34,postapril
2035,Hydro,1018.34,postapril
2036,Hydro,1018.29,postapril
2037,Hydro,1018.37,postapril
2038,Hydro,1018.34,postapril
2039,Hydro,1018.37,postapril
2040,Hydro,1018.29,postapril
2041,Hydro,1018.31,postapril
2042,Hydro,1018.36,postapril
2043,Hydro,1018.47,postapril
2044,Hydro,1018.32,postapril
2045,Hydro,1018.31,postapril
2016,PV,0,postapril
2017,PV,13451.74,postapril
2018,PV,15591.36,postapril
2019,PV,15716.1,postapril
2020,PV,92102.52,postapril
2021,PV,90190.04,postapril
2022,PV,118746.58,postapril
2023,PV,118186.55,postapril
2024,PV,116217.99,postapril
2025,PV,111018.51,postapril
2026,PV,109483,postapril
2027,PV,101630.2,postapril
2028,PV,95737.94,postapril
2029,PV,84674.35,postapril
2030,PV,72655.2,postapril
2031,PV,65741.34,postapril
2032,PV,61312.56,postapril
2033,PV,57738.64,postapril
2034,PV,55930.31,postapril
2035,PV,54660.92,postapril
2036,PV,54996.28,postapril
2037,PV,68812.07,postapril
2038,PV,66098.78,postapril
2039,PV,62675.62,postapril
2040,PV,51526.03,postapril
2041,PV,54399.66,postapril
2042,PV,52728.39,postapril
2043,PV,52355.89,postapril
2044,PV,48775.81,postapril
2045,PV,46464.33,postapril
2016,Wind,289380.53,postapril
2017,Wind,291031.76,postapril
2018,Wind,299609.91,postapril
2019,Wind,299849.52,postapril
2020,Wind,487636.87,postapril
2021,Wind,486824.47,postapril
2022,Wind,561116.35,postapril
2023,Wind,575118.1,postapril
2024,Wind,568858.23,postapril
2025,Wind,564396.75,postapril
2026,Wind,560267.44,postapril
2027,Wind,551908.5,postapril
2028,Wind,548209.17,postapril
2029,Wind,531670.53,postapril
2030,Wind,497927.79,postapril
2031,Wind,488993.7,postapril
2032,Wind,482053.3,postapril
2033,Wind,484463.6,postapril
2034,Wind,486553.39,postapril
2035,Wind,484316.54,postapril
2036,Wind,483785.16,postapril
2037,Wind,497736.65,postapril
2038,Wind,498798.69,postapril
2039,Wind,498393.75,postapril
2040,Wind,464228.75,postapril
2041,Wind,465016.43,postapril
2042,Wind,462309.18,postapril
2043,Wind,461617.25,postapril
2044,Wind,464825.35,postapril
2045,Wind,465759.12,postapril
