year,technology,value,scenario
2021,Geo,296388.24,postapril
2022,Geo,294556.87,postapril
2023,Geo,293314.35,postapril
2024,Geo,294101.32,postapril
2025,Geo,438279.11,postapril
2026,Geo,436414.98,postapril
2027,Geo,429020.34,postapril
2028,Geo,416203.07,postapril
2029,Geo,410910.87,postapril
2030,Geo,513942.56,postapril
2031,Geo,505431.51,postapril
2032,Geo,509006.22,postapril
2033,Geo,503367.23,postapril
2034,Geo,499280.74,postapril
2035,Geo,502266.65,postapril
2036,Geo,503369.07,postapril
2037,Geo,502373.96,postapril
2038,Geo,500844.83,postapril
2039,Geo,499163.42,postapril
2040,Geo,500355.9,postapril
2041,Geo,501399.83,postapril
2042,Geo,500095.13,postapril
2043,Geo,499787,postapril
2044,Geo,502104.86,postapril
2045,Geo,501949.02,postapril
2016,Hydro,42516.26,postapril
2017,Hydro,42476.68,postapril
2018,Hydro,46202.32,postapril
2019,Hydro,46209.52,postapril
2020,Hydro,46244.72,postapril
2021,Hydro,46211.12,postapril
2022,Hydro,46205.52,postapril
2023,Hydro,46202.92,postapril
2024,Hydro,46238.18,postapril
2025,Hydro,46190.04,postapril
2026,Hydro,46167.23,postapril
2027,Hydro,46110.48,postapril
2028,Hydro,46129.16,postapril
2029,Hydro,45970.03,postapril
2030,Hydro,45275.01,postapril
2031,Hydro,45175.97,postapril
2032,Hydro,44750.62,postapril
2033,Hydro,44281.66,postapril
2034,Hydro,44172.04,postapril
2035,Hydro,43996.86,postapril
2036,Hydro,43827.23,postapril
2037,Hydro,43771.18,postapril
2038,Hydro,43592.96,postapril
2039,Hydro,43283.37,postapril
2040,Hydro,43256.1,postapril
2041,Hydro,42952.79,postapril
2042,Hydro,43138.01,postapril
2043,Hydro,42996.74,postapril
2044,Hydro,42838.52,postapril
2045,Hydro,42559.67,postapril
2016,PV,0,postapril
2017,PV,0,postapril
2018,PV,1348.22,postapril
2019,PV,1371.99,postapril
2020,PV,1456.87,postapril
2021,PV,1450.63,postapril
2022,PV,1468.12,postapril
2023,PV,1459.59,postapril
2024,PV,1417.91,postapril
2025,PV,1309.84,postapril
2026,PV,1220.03,postapril
2027,PV,979.97,postapril
2028,PV,793.07,postapril
2029,PV,682.56,postapril
2030,PV,431.82,postapril
2031,PV,392.68,postapril
2032,PV,342.8,postapril
2033,PV,316.36,postapril
2034,PV,293.5,postapril
2035,PV,288.55,postapril
2036,PV,278.44,postapril
2037,PV,262.41,postapril
2038,PV,258.28,postapril
2039,PV,255.52,postapril
2040,PV,248.93,postapril
2041,PV,248.44,postapril
2042,PV,242.84,postapril
2043,PV,242.21,postapril
2044,PV,240.39,postapril
2045,PV,241.35,postapril
2016,Wind,153985.6,postapril
2017,Wind,161877.91,postapril
2018,Wind,170968.14,postapril
2019,Wind,171363.58,postapril
2020,Wind,262154.05,postapril
2021,Wind,260848.57,postapril
2022,Wind,259223.58,postapril
2023,Wind,254841.49,postapril
2024,Wind,251184.9,postapril
2025,Wind,230149.94,postapril
2026,Wind,228120.2,postapril
2027,Wind,221255.57,postapril
2028,Wind,224284.43,postapril
2029,Wind,219124.2,postapril
2030,Wind,202788.86,postapril
2031,Wind,200368.87,postapril
2032,Wind,194241.43,postapril
2033,Wind,191563.28,postapril
2034,Wind,191309.44,postapril
2035,Wind,189996.51,postapril
2036,Wind,189695.02,postapril
2037,Wind,189444.83,postapril
2038,Wind,187366.38,postapril
2039,Wind,187229.14,postapril
2040,Wind,185725.72,postapril
2041,Wind,185960.25,postapril
2042,Wind,187638.72,postapril
2043,Wind,188350.78,postapril
2044,Wind,185889.61,postapril
2045,Wind,187874.16,postapril
